GILBERT GN
MILMAN BL
COLEMAN SR
HARSANYI MA
VINKLER P
SAAVEDRA F
CAMBROSIO A
GARG KC
NEDERHOF AJ
PICHAPPAN P
EGGHE L
NAGPAUL PS
MARTENS B
MULFORD CL
STEINBERG JJ
SYLVAIN C
LEWISON G
ROUSSEAU R
LUUKKONEN T
OKUBO Y
YUTHAVONG Y
ROGERS LA
UZUN A
RINIA EJ
TIJSSEN RJW
BRAUN T
NORRIS RP
SOUZA GS
CHEN YS
WILLEMS J
LEWISON G
BONITZ M
HALL DH
GUPTA DK
SANCHO R
SENTER R
MACLEAN J
HERBSTEIN FH
GIORGI EP
STEPHAN PE
POURIS A
ISON CA
FUCHS S
RABKIN YM
DRORI GS
ROSSITER MW
SCHUBERT A
KIRK SA
POURIS A
VALCARCEL M
TEITEL S
DAVYDOV AA
MUSSURAKIS S
TOGNOLINI J
HATTIE J
CANESSA GS
COHN EG
HARTLEY J
PAYNE LN
FREEMAN C
ADENIRAN OR
CHUBIN DE
TIJSSEN RJW
RESH VH
JOHNSTON R
ANDERSON J
RAMSDEN P
RUBIOLINARES MC
GRANSTRAND O
DOREIAN P
STEWART JA
ROUSSEAU R
EGGHE L
BEDECARRAX C
CHEN YS
RAINA D
DEARENAS JL
RAFFA M
CHAKRABARTI AK
LOEHLE C
COHN EG
KEAY CSL
PHELAN TJ
BAIRD LM
SZAVAKOVATS E
BOTTLE R
GARG KC
BHARGAVA SC
SHARMA P
RAFFA M
GIUSE NB
SEGLEN PO
PERSSON O
PETERS HPF
BURRELL QL
CRONIN B
OTTAVIANI JS
CRONIN B
CHUNG YK
MCCAIN KW
MCNAMEE SJ
NISONGER TE
CHEN YS
BROOKS CH
PINERO JML
ALEIXANDRE R
BONITZ M
WAGNERDOBLER R
OJASOO T
SHENHAV Y
FREED GE
ZEHR SC
VANDERKRUIT PC
ENGELSMAN EC
KONTOROVICH V
TONG XS
GRUPP H
LEYDESDORFF L
JANSEN D
DEBACKERE K
NOYONS ECM
FAULKNER W
MCQUEEN DH
TOUTKOUSHIAN RK
BLAKESLEE AM
RAWLING A
FAULKNER W
BONITZ M
WAGNERDOBLER R
MARTIN BR
ABT HA
COLEMAN SR
GRUPP H
PETERS HPF
TEITEL S
KYVIK S
SCHUBERT A
YAMAZAKI S
NASIR AM
QIN J
DEHAAN J
CHUNG YK
MIQUEL JF
BRAUN T
REGUANT S
HINZE S
PLOMP R
GLANZEL W
ARUNACHALAM S
DELOOZE MA
EGGHE L
GLANZEL W
VANHOOYDONK G
JEANNIN P
MACIASCHAPULA CA
MAKOVETSKAYA O
MARTENS B
MATRICCIANI E
NARIN F
NOYONS ECM
PERITZ BC
RIKKEN F
ROMAN A
ROUSSEAU R
SMALL H
SODERQVIST T
TAGUESUTCLIFFE J
TURNER WA
VINKLER P
WAGNERDOBLER R
YITZHAKI M
ZITT M
BOOKSTEIN A
KRETSCHMER H
BRAUN T
GLANZEL W
ROUSSEAU R
EGGHE L
MENDEZ A
POURIS A
DOU H
RUSSELL JM
SCHUBERT A
PERITZ BC
BARRE R
KRAUSKOPF M
ETO H
LEYDESDORFF L
MCGRATH WE
MIQUEL JF
MEADOWS AJ
BONITZ M
BOOKSTEIN A
TODOROV R
RAO IKR
TURNER WA
LUUKKONEN T
GRIFFITH BC
VINKLER P
BURRELL QL
LAZAREV VS
LEPAIR C
VLACHY J
VANRAAN AFJ
KRETSCHMER H
LEYDESDORFF L
BRAUN T
KATZ JS
MILMAN BL
LEYDESDORFF L
SAURER W
NAGPAUL PS
BONITZ M
LEWISON G
KYVIK S
VANDERKRUIT PC
COURTIAL JP
WOUTERS P
VINKLER P
ZHANG HQ
COURTIAL JP
LECLERC M
PRPIC K
ALLEN B
SODERQVIST T
COLLINS R
STIGLER SM
LEYDESDORFF L
TEITEL S
MIYAZAKI K
MOGEE ME
SCHMOCH U
TERAN CMY
WU AP
ONeill GP
CLEMENS ES
Dalton MS
LONG JS
COHN EG
ZIELINSKI C
HUBER JT
GRUPP H
ZORNIG P
WEST CK
KASOF J
PRATHAP G
PRATHAP G
JOHNES J
STUMPF H
ALLEN BD
Glasner P
KYVIK S
GLANZEL W
ZHANG H
EGGHE L
ORREGO C
KRAUSKOPF M
ABDULLAH S
lePair C
ODLYZKO AM
GRIMMELIUS HT
COURTIAL JP
SCHMOCH U
WAGNERDOBLER R
Langham T
GLANZEL W
SENG LB
SNYDER H
SANZ E
Leydesdorff L
PETERS HPF
MCCAIN KW
CHEN YS
HJORLAND B
EGGHE L
BIERBAUM EG
OLUICVUKOVIC V
CHEN YS
BEASLEY JE
GRIVEL L
Kishida K
HOERMAN HL
LopezCozar ED
PORTA M
SITTIG DF
SULLIVAN MK
STATZNER B
GEISLER E
SCHNIEDERJANS MJ
NAVARRO FA
SMALL H
WANG PL
SIMONTON DK
FEIST GJ
MARKS D
JACOBSSON S
LEE JW
GOMEZ I
Herbertz H
BALDWIN RG
EPSTEIN S
EXNER O
NAGPAUL PS
NEDERHOF AJ
COLMAN AM
DIZON LB
SIMONETTI R
BECK MT
NICOLINI C
VINKLER P
SNIZEK WE
BALABAN AT
WAGNERDOBLER R
KLAIC B
MCCAIN KW
HEINE MH
BUCHHOLZ K
SAMPSON ZJ
PUDOVKIN AI
LIU JM
DUPLENKO YK
MICHALOS AC
SCHUBERT A
GODIN B
PICHAPPAN P
CAMPANARIO JM
SURAUD MG
LAU TY
TIJSSEN RJW
HERBERTZ H
YAMAZAKI S
BRAUN T
MIQUEL JF
NAGPAUL PS
GUPTA BM
THOMAS PR
ROMANOV AK
KALYANE VL
BURTON MP
BRAUN T
RAINA D
KARKI MMS
TSAY MY
PERSSON O
RIKKEN F
MOED HF
CAMPANARIO JM
KRAUSKOPF M
BONITZ M
LEPAIR C
QUESADAALLUE LA
NARVAEZBERTHELEMOT N
RUSSELL JM
MACIASCHAPULA CA
MEYER JB
KRAUSKOPF M
GUIMARAES JA
CANO V
VESSURI H
KOSTOFF RN
BRAUN T
BALDI S
CUNNINGHAM SJ
NAGPAUL PS
EGGHE L
Gabolde I
Piquer CR
Bach L
Cozzens S
Cunion KM
Gonda K
Helander E
Hills P
Johnston R
Kameoka A
Krull W
Kyriakou D
Kuhlmann S
Laredo P
Narin F
Nauwelaers C
OHerlihy J
Rinaldini C
Smith WA
VanHooydonk G
Lukovits I
MYERS G
SHADISH WR
WOLF HG
Baldi S
DOU H
MARTIN BR
Dou H
Lammers WJEP
WulffBarreiro E
Magee GB
Rumjanek VM
Smith R
Zhang HQ
Ceh SLB
Hansen HB
Alger J
Cohn EG
Palladino P
deJong JW
Hazewinkel M
Vala J
Landry R
Funkhouser ET
Herbig PA
Havemann F
Schubert A
Toni F
Vessuri HMC
Rodulfodegil E
Zhang HQ
Mahmood K
Golub B
Burton M
Rice RE
Ingwersen P
Cronin B
LindholmRomantschuk Y
Rousseau R
Stephan PE
Porta M
Bruckner E
Grupp H
WagnerDobler R
Egghe L
Lawson M
LopezMunoz F
Beed C
McGrath WE
Campanario JM
Campanario JM
Harter SP
Geldenhuys G
vandenBesselaar P
Alvarez P
Dore JC
Egghe L
Rousseau R
Kokol P
Nissan E
Cullars JM
Garfield E
White HD
Osareh F
Osareh F
Bordons M
Raina D
Zhang HQ
Raghuram N
Liebeskind JP
Wang PL
Yela M
Markusova V
Alvarez P
Spruit HC
Nedeva M
Okubo Y
Renaud RD
Tornquist KM
Dong YR
Eisemon TO
Penan H
Hicks DM
Leydesdorff L
Jacobsson S
Godin B
Lee MS
Moed HF
Vivarelli M
Joly PB
Mansfield E
Laursen K
Hattie J
Anderson MS
Forattini OP
Stankus T
Chernogorenko VB
Kyvik S
Hicks DM
Packer K
Brown KS
Merton RK
Hodges S
Melin G
Leta J
Davis G
Rodriguez K
Urban D
Magri M
Schwartz S
Katz JS
Schubert A
Glanzel W
Glanzel W
Moed HF
Katz JS
Bourke P
Zitt M
Gomez I
Vinkler P
Arvanitis R
McGrath WE
Rao IKR
Lazarev VS
Aguillo IF
MarshakovaShaikevich I
Glanzel W
Nieminen P
Berg J
Breimer LH
Seglen PO
Meneghini R
Vinkler P
Winclawska BM
Schubert A
Liang LM
Gupta BM
Dickenson RP
Godin B
Kundra R
JimenezContreras E
Egghe L
Rajeswari AR
Schubert A
Gabolde I
Braun T
deLooze MA
Prpic K
Galante E
Vinkler P
Trimble V
Braun T
Breimer LH
Uzun A
Bonitz M
Schubert A
Kostoff RN
Narin F
Schubert A
Link AN
Martin BR
Melin G
Geisler E
vanRaan AFJ
Miller R
MacRoberts MH
Brown EA
Campanario JM
Six J
Christensen FH
Rivas AL
Raj CBC
Moed HF
Korevaar JC
Plaza LM
Papadopoulos S
Persson O
Uzun A
Breimer LH
Zhang HQ
vanRaan AFJ
Glanzel W
Zitt M
Niwa F
Tomov DT
Bordons M
Artus HM
Hinze S
Sigogneau A
deLooze MA
Markusova VA
[Anon] .
Breimer LH
Lin Y
Lewison G
Hemlin S
vanCaulil GF
Prpic K
Bourke P
Balaban AT
Lewis DA
Stephan PE
Stichweh R
Balmer B
Yaalon DH
Pouris A
Anderson J
Jacobsson S
Archibugi D
Wu AP
Schoonbaert D
Sullivan DL
Canagarajah AS
Seglen PO
Jungnickel PW
White HD
Jacso P
Warner J
Girard R
de_Meis L
Krauskopf M
Seglen PO
Ugolini D
Zhang HQ
Magee GB
Armstrong PW
Opthof T
Garfield E
Schwartz CA
Klaic ZB
Lindauer MS
Feist GJ
Arunachalam S
Papadakis M
Reiss T
Wilkinson S
Filippelli LA
Zhang HQ
Reid EOF
Decroos F
Lafouge T
Schubert AP
Siddiqui MA
Mahmood K
Arsenova I
Zhang HQ
Simonton DK
Papageorgiou JC
Dominick JR
Deeds DL
Ratnatunga J
Karki MMS
Pohl L
Hodgson C
Cronin B
Liu ZM
Oppenheim C
Egghe L
AlvarezOssorio JRP
Kostoff RN
Vinkler P
vanRaan AFJ
Shan WJ
Liu ZM
WagnerDobler R
Ingwersen P
MacRoberts MH
Leydesdorff L
Egghe L
Zhang HQ
Spasser MA
OluicVukovic V
Qin J
VanHooydonk G
Garfield E
MacRoberts M
Harter SP
Renner I
Racki G
White MD
Bonitz M
Liu XM
Gobel S
Cami J
Gomez I
Cami J
Kostoff RN
Simonton DK
Zaidman B
Tijssen RJW
Katz JS
Evangelista R
Kostoff RN
Dickens CS
Rau JR
Mandeal R
Lopez-Cozar ED
Bhatia VK
Gomez I
Kostoff RN
Kyvik S
Traore N
Kostoff RN
Wouters P
Rip A
Luukkonen T
Wouters P
Barre R
Cunningham P
VanderMeulen BJR
Schmoch U
Blauwhof G
Katz JS
Leydesdorff L
Braun T
VanRaan AFJ
Yitzhaki M
VanDalen HP
Vogel EE
Ugolini D
Small H
MaciasChapula CA
Zhang HQ
Braun T
[Anon] .
Romanov AK
Cunningham SJ
BarIlan J
Goldberg AI
Spasser MA
Bird JE
Schummer J
Schummer J
Oppenheim C
[Anon] .
Budilova EV
Fonseca L
Avkiran NK
Sikka P
DeHaan J
Persson O
Kostoff RN
WagnerDobler R
Osareh F
DeLooze MA
Gupta BM
Gupta BM
Zumelzu E
Todorovsky D
Anwar MA
Rousseau S
Bhattacharya S
Rotto E
Kostoff RN
Gupta BM
Vinkler P
Davidse RJ
Rivas AL
Shrum W
Nederhof AJ
Kishida K
Urban D
Courtial JP
Small H
Pavitt K
Peritz B
Bookstein A
Bhattacharya S
Bonitz M
Bordons M
Czapski G
Danell R
Egghe L
Faucompre P
Glanzel W
Grivel L
Gupta BM
Christensen FH
Katz JS
Kortelainen TAM
Krauskopf M
Kretschmer H
De_Lange C
Glanzel W
Chenia HY
Weingart P
WagnerDobler R
Baldi S
Allen B
Nieminen P
Paci R
Fraser LH
Tonta Y
Bouchet P
Burchinsky SG
Long RG
Seglen PO
Baldi S
Jacob EK
Galvez A
Magee GB
Penington D
Lannes D
Brown CM
Rousseau R
Frankish CJ
Schubert A
Arunachalam S
Zucker LG
Mogee ME
Wishart MJ
Lewison G
Kostoff RN
Gupta BM
Huber JC
Kumar S
Gil-Arnao F
Cetto AM
Gomez YJ
Fernandez MT
Ding Y
Ding Y
Uzun A
Ding Y
Marx U
Hoeffel JC
Holland F
Pollard G
Kunz M
Ingwersen P
Moed HF
Kushkowski JD
Wormell I
Sen BK
Webster BM
Duff AS
Snyder H
Veshosky D
Kharbanda VP
Morris TA
Kopcsa A
Zitt M
Melin G
Noyons ECM
Leydesdorff L
Wang PL
Perry CA
He SY
White HD
Zhang HQ
Huber JC
Harter SP
Maricic S
Garfield E
Harter SP
Oluic-Vukovic V
Van_Hooydonk G
Coulter N
Tsay MY
Beghtol C
Wessely S
Cullars JM
Bensman SJ
Garfield E
Egghe L
Lauter R
Bordons M
Etzkowitz H
Arunachalam S
Ojasoo T
Reedijk J
Nisonger TE
Shim W
Dundar H
Bourke P
Bergeron S
Kealey T
Rinia EJ
Noyons ECM
Laredo P
Luukkonen T
Georghiou L
Pavitt K
Meyer-Krahmer F
Bess JL
Urbizagastegui R
Golder W
May RM
Campanario JM
Lewison G
Lewison G
Luwel M
Macias-Chapula CA
Narin F
Noyons ECM
Polanco X
Quoniam L
Rao IKR
Rey J
Russell JM
Small H
Sen SK
Stefaniak B
Van_Hooydonk G
Vinkler P
Wagner-Dobler R
Wilson CS
Wouters P
Yitzhaki M
Zitt M
Okubo Y
O'Neill GP
Fonseca L
Leta J
So CYK
Thomas PR
Jain A
Schwarz AW
McCain KW
Marton J
Vinogradov AE
Mely B
Raina D
Tijssen RJW
Fernandez JA
Rousseau S
Wang CD
Falkingham LT
Nemtsov AV
Cabral JED
Kutlaca DG
Meyer M
Bar-Ilan J
Anegon FD
Friedrich MP
Su Y
Beckmann M
Radosevic S
Hart PW
Godin B
Gupta BM
Gupta BM
Gupta BM
Rivas AL
Abd_el_Kader M
Van_Raan AFJ
LeClerc M
Braun T
Leydesdorff L
Kostoff RN
Cronin B
Egghe L
Rousseau R
Garfield E
Fujigaki Y
Makino J
Scharnhorst A
Vinkler P
Van_Raan AFJ
Arunachalam S
Small H
Vinogradov AE
Cunningham SJ
Pereira JCR
Guzman MV
Golub B
Moed HF
Bar-Ilan J
Prpic K
Plaza LM
Babu AR
Banerjee P
Bhattacharya S
Chawla A
Chetal R
Dhawan SM
Garg KC
Kretschmer H
Fox MF
Godin B
Nesvetailov GA
Lane PJ
Plaza LM
MacLean M
Vertova G
Bachmann A
Ruibal-Mendieta NL
Marshakova-Shaikevich IV
Kretschmer H
Urban D
Racki G
Sabate J
Lau RR
Igic R
Martin MJ
Fernandez MT
Pannell DJ
Berven HM
Restelli M
Genest C
Albert MB
Crawford GA
Klaic B
Arunachalam S
Meyboom RHB
Jovicic A
Ragan JF
Mela GS
Garcia-Lopez JA
Nasierowski W
Mueller RAE
Mogee ME
Magee GB
Cullen PW
Kyvik S
Stephen T
Glanzel W
Chen CM
Martin-Sempere MJ
Velho L
Hendricks J
Yamamoto ME
Cobo MF
Cicchetti DV
Westfall RD
Stegmann J
Tsay MY
Lafouge T
Budd JM
Alloro G
Kim MJ
van_Leeuwen TN
Lewison G
Butler A
Lyon WS
Kleinberg JM
Wang PL
Noyons ECM
Yuan WJ
Palmer CL
Pierce SJ
Kostoff RN
Cronin B
Cano V
Small H
Vinkler P
Lipetz BA
Andersen J
Black S
Small H
Qin J
He Q
Rowlands I
Zubieta_Garcia J
Cole S
Malsch I
Moed HF
Plerou V
Pantel J
Sterman JD
van_Dalen HP
Simonton DK
Montada L
Hearit KM
Trimble V
Luwel M
Radosevic S
Grupp H
Beise M
Blind K
Bourke P
Katz JS
Tijssen RJW
Zitt M
Kumaresan N
Miyazaki K
Harhoff D
de_Dios JG
Zulueta MA
Bordons M
Lopez-Cozar ED
Lewison G
Hoeffel C
Nesvetailov GA
Braun T
Gupta BM
Gupta VK
Sangam SL
Satyanarayana K
Seetharam G
Srinivasan R
Tapaswi MP
Gupta BM
Saam NJ
Nunes ED
Leydesdorff L
Lewison G
Hicks D
Ruiz-Banos R
Ruiz-Banos R
Schubert A
Moed HF
Bassecoulard E
Basu A
Bonitz M
Debackere K
De_Looze MA
Glanzel W
Gomez I
Lange LL
Nederhof AJ
Roosendaal HE
Rousseau R
Rowlands I
Schwechheimer H
Wouters P
Molas-Gallart J
Lee M
Huber JC
Coronini R
Ojasoo T
Pereira JCR
Karki MMS
Phelan TJ
Kozlowski J
Eto H
Glanzel W
Rey-Rocha J
Egghe L
Kademani BS
Garg KC
Gupta BM
Egghe L
Eto H
Jin BH
Bundschuh E
Escritt R
Scapagnini U
Einem C
Davignon E
Kneucker RF
Bundschuh E
Lindqvist OV
Nybom T
Pompidou A
Meyer V
Van_Heeringen A
Papon P
Seidel H
Fasella PM
Tuppy H
Meyer-Krahmer F
Van_Raan A
Braun T
Skoie H
Sirilli G
Westerheijden DF
Airaghi A
Veltkamp E
Farge Y
Curien H
Wilhjelm N
Schmidt A
List H
Borgman J
Mannerkoski M
Stromholm S
Rojo JM
Krull W
Ledoux MJ
Fayl G
Tsipouri L
Helander E
Georghiou L
Praestgaard E
Horvat M
Fasella PM
Viana-Baptista J
Bricall J
Oborne M
Kuklinski A
Skalicky P
Bundschuh E
Routti J
Einem C
Le_Pair C
Dahoun AM
Garg KC
De_Marchi M
Arkhipov DB
Hayashi T
Andersen H
Nagpaul PS
Souza GD
Melin G
Schubert A
Wagner-Dobler R
Bird JE
De_Moya-Anegon F
Yurtsever E
Bookstein A
Fernandez-Cano A
Bar-Ilan J
Bordons M
Davis M
Egghe L
Glanzel W
Gomez I
Hinze S
Hood WW
Ingwersen P
Kretschmer H
Kundra R
Lewison G
de_Arenas JL
Luwel M
Macias-Chapula CA
Moed HF
Noyons ECM
Rao IKR
Vinkler P
Wagner-Dobler R
Wilson CS
Zitt M
Melin G
Kaplan DE
Hobert JP
Lehrl S
Schwartz MD
Kostoff RN
Courtial JP
Matthiessen CW
Gerhards J
Galvez A
Pinaud M
Phelan TJ
Pospisilova J
Rodrigues PS
Senaratne SG
Knox B
Nisonger TE
Kastelan-Macan M
Vijayan M
Vinkler P
Jayashree B
Arunachalam S
Winkmann G
Simonton DK
Maricic S
Van_Houten B
Masgoret AM
Vidal J
Cosijn E
Niaz M
Toledo EG
Holub HW
Hart RL
Hart RL
Cooke A
Paul D
Kostoff RN
Sakellari D
Oppenheim C
Jarvelin K
Borgman CL
Cronin B
Song M
Kim MJ
Han MC
Post DG
Nishimura J
Meho LI
Lee WM
Egghe L
Egghe L
Qin J
Kaplan NR
Bar-Ilan J
Steele TW
Case DO
Alvarez P
Kim HJ
Egghe L
Egghe L
Fiala J
McMillan SJ
Wormell I
Rio FG
Hellemans A
Donohue JM
Jokic M
Mahroum S
Bourdoncle F
Paci R
van_der_Meulen B
Holbrook A
van_Raan AFJ
Dodgson M
Hicks D
van_Leeuwen TN
Melin G
Okubo Y
Etzkowitz H
Frenken K
Godin B
Frenken K
Meyer M
Georghiou L
Zulueta MP
Montes GS
Kostoff RN
Phelan TJ
Ramirez AM
Claveria LE
Eto H
Pollmann T
Ding Y
Jacobs D
Banerjee P
Shirabe M
Bhattacharya S
Lin Y
Sangam SL
van_den_Besselaar P
Bogaert J
Van_Borm J
De_Bra P
Egghe L
Jansz MCN
Leydesdorff L
Luwel M
Malo S
Moed HF
van_Raan AFJ
Rinia EJ
Rousseau R
Tijssen RJW
Torricella-Morales RG
Verspagen B
Moed HF
Okubo Y
Arvanitis R
Dore JC
Gusmao R
Laredo P
Lemarie S
Salaun JM
Sigogneau A
Solari A
Zitt M
Anduckia JC
Prasad A
Nanda SK
Abt HA
Tonta Y
Eto H
Lee M
Wormell I
Glanzel W
Meyer M
Sandstrom A
Wormell I
Wormell I
Schubert A
Anduckia JC
Saetnan AR
Egghe L
Zelman A
Basu A
Trimble V
Choung JY
Osareh F
Kyvik S
Aksnes DW
Danell R
Ingwersen P
Iversen EJ
Mahlck P
Meyer M
Seglen PO
Thorsteinsdottir OH
Von_Ungern-Sternberg S
Braun T
Pestana A
Rovira L
Bar-Ilan J
Karki MMS
Shama G
Pereira JCR
Gupta BM
Glanzel W
Stankus T
Pouris A
Kumar SS
Lee J
