Abbott, Harvey L.
Cleves, Emily M.
Cobos, Fernando
Cockayne, Ernest J.
Coddington, Earl A.
Coffman, Edward G., Jr.
Cofre-Matta, Alvaro
Cohen, Arjeh M.
Cohen, Daniel E.
Cohen, Frederick R.
Cohen, Gerard Denis
Cohen, Graeme L.
Cohen, Henri
Cohen, I. S.
Cohen, Joel E.
Cohen, Jonathan
Cohen, Meir
Cohn, Paul Moritz
Cohn, William
Cohoon, David K.
Colbourn, Marlene Jones
Cole, Richard
Cole, T.
Coleman, Matthew P.
Coleman, Sidney
Collens, R. J.
Collingwood, Edward F.
Collins, Oliver
Collins, P. J.
Colwell, Peter
Comellas, Francesc
Comfort, W. Wistar
Compton, Kevin J.
Conder, Marston
Conrey, J. Brian
Conze-Berline, Nicole
Cook, Curtis R.
Cook, Janice
Cook, Roger J.
Cook, T. J.
Cook, William J.
Cooke, Kenneth L.
Cooper, Jason
Cooper, John K., Jr.
Cooperman, Gene
Cooperstock, Jeremy
Copi, Irving M.
Coppersmith, Don
Coray, Giovanni
Cormier, Romae J.
Corneil, Derek G.
Corominas, Ernest
Corradi, Keresztely A.
Correl, Ellen
Corsten, L. C. A.
Cosares, Steven
Costello, Daniel J., Jr.
Coster, Matthijs, J.
Coullard, Collette R.
Coulter, Edwin
Cover, Thomas M.
Cowan, D. D.
Cowen, Carl C.
Cowen, Lenore J.
Cowles, John R.
Cowling, Vincent F.
Cowsik, R. C.
Cox, Nannette
Coxeter, Harold Scott MacDonald
Craft, David L.
Craig, Cecil
Craighead, R. L., Jr.
Crama, Yves
Crandall, Richard E.
Crane, Ronni P.
Cranwell, R. M.
Crapo, Henry H.
Crepeau, Claude
Criscuolo, Giuliana
Crittenden, Richard B.
Cross, George E.
Crowder, Harlan P.
Crowe, John A.
Csaba, Laszlo
Csaszar, Akos
Csernyak, L.
Csima, Jozsef
Csirik, Janos
Csirmaz, Laszlo
Csordas, George
Csorgo, Miklos
Csorgo, Sandor
Cull, Paul
Cummings, James
Cummings, Larry J.
Curran, Donald Joseph
Curtis, R. T.
Cusack, Charles A.
Cusick, Thomas W.
Cvetkovic, Dragos M.
Cwikel, Michael
Cypher, Robert E.
Czech, Zbigniew J.
D'Esopo, D. A.
Daboussi, Heidi
Dagum, Paul
Dahlke, Karl A.
Dai, Chao Shou
Dai, Zong Duo
Daily, John
Dale, M. R. T.
Damaschke, Peter
Dambitis, Janis
Damerell, M. R.
Damgard, Ivan
Damiano, Robert F.
Dancs, Stephan
Dandapat, G. G.
Daniels, Peg
Dankelmann, Peter
Danskin, John M., Jr.
Dantzig, George B.
Danzer, Ludwig W.
Dargen, Karen Casey
Darmon, Henri
Daroczy, Zoltan
Das, Prabir
Das, Pramod K.
Das, Sipra
Dashiell, Frederick K., Jr.
Dass, Bal Kishan
Dassow, Jurgen
Davenport, Dennis E.
Davey, Brian A.
David, Elias
David, G.
David, Herbert Aron
Davidow, G.
Davidson, Kenneth R.
Davis, Basil
Davis, Burgess
Davis, Daniel
Davis, James Andrew
Davison, B.
Davison, J. Leslie
Davisson, Lee D.
Davitt, Richard M.
Dawes, Robin M.
Day, D. P.
Day, Jane M.
Day, Robert P. J.
Day, William H. E.
Daykin, Jacqueline W.
de Acosta, Alejandro D.
de Boer, Martin J. M.
de Boor, Carl
de Brandes, Marcia
de Bruin, Marcelis Gerrit
de Fraysseix, Hubert
de Launey, Warwick
de Mendez, Patrice Ossona
de Pillis, John
De Resmini, Marialuisa J.
de Rooij, Peter J. N.
De Santis, Alfredo
De Simone, Caterina
De Villiers, Johan M.
de Werra, Dominique
de Witte, Paul
Deak, Ervin
Dean, Nathaniel
Debbi, D.
DeBoth, Gene A.
Debroni, Bradley M.
Deinert, Erhard
Dejter, Italo Jose
DeLa Vina, Ermelinda
Delange, Hubert
DeLaRue, E. Loh
Deleglise, Marc
DeLeon, Morris Jack
Della Vecchia, Biancamaria
Delmer, Francine
Delsarte, Philippe
Demers, Alan J.
Demetrovics, Janos
Dempster, Arthur P.
Dence, Thomas P.
Denenberg, Larry
Denes, Peter
Deng, Xiao Tie
Denniston, Ralph Hugh Francis
Deo, Chandrakant M.
Deo, Narsingh
Deogun, Jitender S.
Depew, A. J.
Derman, Cyrus
Dershowitz, Nachum
DeSanto, John A.
Desmedt, Yvo G.
DeTemple, Duane
Deuber, Walter A.
Deutsch, Frank
Devitt, John S.
Devlin, Keith J.
DeVore, Ronald A.
Devroye, Luc
Dewdney, Alexander Keewatin
Deza, Antoine
Dhagat, Aditi
Dhombres, Jean G.
Diab, Ahmad
Diaconis, Persi
Diamond, Harvey
Diamond, Mark R.
Diananda, Palahenedi Hewage
Diercks, V.
Dierker, Paul F.
Diestel, Reinhard
Dikshit, Hanuman P.
Dilcher, Karl
Diliberto, Stephen P.
Ding, Guoli
Ding, Ping
Dinitz, Jeffrey H.
Dinneen, Michael J.
Dinculeanu, Nicolae
Dinwoodie, I. H.
Dion, L.
Ditzian, Zeev
Diuzamonja, Mirna
Divis, Bohuslav
Djokovic, Dragomir Z.
Dmitriev, V. I.
Dobbertin, Hans
Dobkin, David P.
Dobrowolski, Edward
Dodson, M. M.
Dolev, Danny
Dolev, Shlomi
Dolinar, Sam
Domke, Gayla S.
Donagi, Ran
Donald, Alan
Donald, John
Donath, W. E.
Doner, John E.
Donsker, Monroe D.
Doob, Joseph L.
Doob, Michael
Doornbos, R.
Dordal, Peter
Dorfler, Willibald
Dorwart, Harold L.
Doskas, Mike
Doty, Lynne L.
Douady, Adrien
Dougherty, Randall
Douglas, Ronald George
Douthett, Jack
Dow, Alan
Dow, Stephen J.
Dowd, Martin
Dowdy, James
Dowling, Thomas A.
Downarowicz, Tomasz
Downey, Peter J.
Downs, Margaret Michele
Doyen, Jean
Doyle, Peter G.
Dravecky, Jozef
Drazin, Michael P.
Dreesen, B.
Dresel, L. A. G.
Dress, Andreas
Dress, Francois
Drezner, Zvi
Driessen, L. M. H. E.
Dringo, L.
Driscoll, James
Dror Farjoun, Emmanuel
Droste, Manfred
Drozdova, A. A.
Dryanov, Dimiter P.
Du, Ding Zhu
Dubiner, Moshe
Duchet, Pierre
Dueck, J.
Duff, Tom D. S.
Duffus, Dwight
Duflo, Michel
Dugac, Pierre
Dugas, Manfred
Dugat, Vincent
Dugdale, J. K.
Duh, Dyi Rong
Dunbar, Jean E.
Duncan, John
Dunton, M.
Dupain, Yves
Duparc, Herman Johan Arie
Duquette, Alfred L.
Duren, Peter L.
Durett, Richard T.
Durnberger, Erich
Dutton, Ronald D.
Duvdevani, N.
Dwork, Bernard
Dwork, Cynthia
Dwyer, Denis
Dyer, Eldon
Dyer, Martin E.
Dyson, Freeman J.
Dzamonja, Mirna
Eades, Peter
Eaton, Nancy
Eaves, B. Curtis
Ebenegger, Ch.
Ebenfelt, Peter F.
Ecklund, D. J.
Edelberg, Murray
Edelman, Paul H.
Edelsbrunner, Herbert
Edelstein, Michael
Edgar, Gerald A.
Edgar, Hugh
Edmonds, Jack R.
Edmonds, Jeff
Edwards, Christopher S.
Edwards, Jeff
Egawa, Yoshimi
Egervary, Jeno
Eggan, Larry C.
Eggan, Peter C.
Eggleston, H. G.
Ehlers, E. M.
Ehrenfeucht, Andrzej
Ehrenpreis, Leon
Eichhorn, Wolfgang
Eichinger, Bruce E.
Eid, Abdul
Eigen, Stanley
Eilenberg, Samuel
Ein, Lawrence M. H.
Einmahl, John H. J.
Einstein, Albert
Einy, Ezra
Eisenbud, David
Eisenstadt, B. J.
Eitner, Paul G.
Eklof, Paul C.
El-Gindy, Hossam
El-Mallah, Ehab S.
El-Yaniv, Ran
Elbert, Arpad
Elbert, Michael A.
Eldridge, Stephen E.
Elek, Gabor
Eliahou, Shalom
Eliezer, C. J.
Elkies, Noam D.
Elkington, Gordon Bradley
Ellingham, Mark N.
Elliott, David
Elliott, Joanne
Ellzey, M. Lawrence, Jr.
Elsner, Ludwig
Elwin, John
Enflo, Per
Engel, Konrad
Enomoto, Hikoe
Enting, I. G.
Eppstein, David
Epstein, Bernard
Era, Hiroshi
Erdelyi, Tamas
Erdos, Peter L.
Eremenko, Alexandre E.
Erickson, Martin
Eroh, Linda
Escalante, Fernando
Esfahanian, Abdol-Hossein
Esseen, Carl-Gustav
Essen, Matts R.
Esser, Friedrich
Esser, Martinus
Estes, Dennis R.
Estrin, Gerald
Etzion, Tuvi
Eustice, Dan J.
Evans, Benny D.
Evans, James R.
Evans, Ronald J.
Evans, William
Even, Shimon
Everest, G. R.
Everett, C. J., Jr.
Everett, Hugh
Evertse, Jan-Hendrik
Eves, Howard W.
Evgrafov, M. A.
Evyatar, Asriel
Ewacha, Kevin
Ewald, Gunter
Exoo, Geoffrey
Fabian, Marian
Fabrykowski, Jacek
Fagin, Ronald
Faigle, Ulrich
Fakuda, Komei
Falcao, L.
Falconer, Kenneth J.
Falkowitz, Mordechai
Falmagne, Jean-Claude
Fan, C. Kenneth
Fan, Cong
Fan, Da Shan
Fan, Genghua
Fan, Ky
Fang, Zu Yao
Farahat, H. K.
Farasiu, D.
Farber, Martin
Farley, Arthur M.
Farquhar, Peter H.
Farrell, Edward J.
Fary, Istvan
Fast, Henryk
Fauvel, John
Favaron, Odile
Fawcett, L. R.
Fay, Temple H.
Fee, Greg
Feeman, Timothy G.
Feferman, Solomon
Fefferman, Charles Louis
Feher, Janos
Feige, Uriel
Feigelson, Eric D.
Fein, Burton
Fein, Michael
Feinerman, Robert P.
Feitelson, Dror G.
Fejes Toth, Gabor
Fejes, Leopold
Fekete, Michael
Feldman, David
Feldmann, Tova
Fell, Harriet
Fell, James M. G.
Fellows, Michael R.
Felsner, Stefan
Feng, Ke Qin
Feng, Qi
Feng, Y. K.
Fenner, Trevor I.
Fenyo, Istvan
Ferch, H.
Ferejohn, John A.
Ferguson, Le Baron O.
Fernandez de la Vega, Wenceslao
Fernandez, Jose Luis Cuadra
Fiamcik, Jozef
Fiat, Amos
Fiduccia, Charles M.
Fielder, Daniel C.
Figiel, Tadeusz
Filaseta, Michael
Finch, Steven R.
Finck, Hans-Joachim
Fine, Nathan J.
Finizio, Norman J.
Fink, John Frederick
Finkelstein, Larry
Fiorini, Stanley
Firey, William J.
Fischer, Eldar
Fischer, Janos
Fischer, Michael J.
Fischer, Pal
Fischer, Roger
Fisher, David C.
Fisher, Emanuel
Fisher, Joshua
Fisher, P. H.
Fisher, R.
Fisher, Stephen David
Fishman, R. S.
Fisk, Steve
Fisz, Marek
FitzGerald, Carl H.
Fitzpatrick, Simon
Fixman, Uri
Fladt, Kuno
Flahive, Mary Elizabeth
Flajolet, Philippe
Flandrin, Evelyne
Flatto, Leopold
Fleck, Arthur C.
Fleischer, Rudolf
Fleischner, Herbert
Fleissner, William G.
Fletcher, Peter
Flick, J. David
Flora, Mark D.
Florian, August
Foias, Ciprian
Foldes, Antonia
Foldes, Stephane
Folkman, Jon H.
Folledo, M.
Fontana, Luigi
Foote, Richard
Ford, G. W.
Foreman, Matthew
Forman, William
Formanek, Edward W.
Fornaess, John Erik
Forsythe, George E.
Fort, M. K., Jr.
Forte, Bruno
Fortet, Robert
Fortnow, Lance J.
Fortune, Steven
Foster, James H.
Foster, Lorraine L.
Foulds, Les R.
Fouvry, Etienne
Fowler, A. G.
Fowler, M.
Fraisse, Pierre
Francez, Nissim
Franco, Zachary
Franek, Frantisek
Frank, Andras
Frank, Evelyn
Frank, Ove
Frankiewicz, Ryszard
Franklin, Stanley P.
Franta, William R.
Franzblau, Deborah S.
Fraser, Owen H.
Fraughnaugh, Kathryn F.
Frechen, Joseph B.
Frederix, G. H. M.
Fredman, Michael L.
Freed, Daniel S.
Freeman, J. W.
Freiling, Chris
Fremlin, David H.
Freund, Peter G. O.
Frick, Marietjie
Fricke, Gerd H.
Fridshal, Donald
Fried, Michael D.
Friedl, Katalin
Friedland, Shmuel
Friedlander, F. G.
Friedlander, John B.
Friedlander, Richard J.
Friedman, Arthur D.
Friedman, Bernard
Friedman, Harvey
Friedman, Joel
Friedman, Menahem
Friedman, Sy D.
Friedrichs, Kurt O.
Frieze, Alan M.
Fristedt, Bert E.
Froberg, Carl-Erik
Frolik, Zdenek
Fromme, M.
Froncek, Dalibor
Frost, Howard B.
Frucht, Roberto Wertheimer
Frye, William G.
Fu, Shu Sheng
Fu, Siqi
Fuchino, Sakae
Fuchs, Ladislas
Fuchs, Laszlo-1
Fuji-Hara, Ryoh
Fukuda, Komei
Fulkerson, Delbert Ray
Fulman, Jason
Fulton, Curtis M.
Fulton, John D.
Fulton, R.
Fung, Gilbert
Furer, Martin
Furino, Steven C.
Furry, W. H.
Furstenberg, Hillel
Gaal, Istvan
Gabard, Emilien
Gabbay, Dov M.
Gacs, Peter
Gaddum, Jerry W.
Gaer, Marvin C.
Gaifman, Haim
Gal, Anna
Gal, Shmuel
Gal, Sorin Gh.
Galanis, E.
Galbraith, A. S.
Gale, David
Galil, Zvi
Gallant, Robert P.
Galli Erickson, Doreen L.
Galluccio, Anna
Galovich, Steven
Gambosi, Giorgio
Gamelin, Theodore W.
Gamer, Carlton
Gammel, John L.
Ganelius, Tord H.
Ganesan, Ravikanth
Ganley, Michael J.
Ganter, Bernhard
Gao, Biao
Gao, Bo
Gao, Xu Hong
Gao, Zhicheng
Gardiner, Anthony D.
Gardiner, Verna
Gardner, Ben
Gardner, Marianne Lepp
Gardner, Martin
Gardner, Richard J.
Gardner, Robert
Garey, Michael R.
Garfinkel, Robert S.
Gargano, Michael L.
Garnett, John B.
Garnick, David K.
Garzon, Max
Gaskell, R. W.
Gasper, George
Gassman, Larry D.
Gastineau-Hills, Henry M.
Gates, David J.
Gati, Georg
Gati, Jozsef
Gatto, Angel Eduardo
Gatzke, Hartmut
Gauchman, Hillel
Gauthier, Paul M.
Gaveau, Bernard
Gavlas, Heather Jordon
Gavril, Fanica
Gawlick, Dieter
Ge, Xiaolin
Geelen, J. F.
Geher, Laszlo
Gehrig, Wilhelm
Gehring, Frederick W. A.
Gehrlein, W. G.
Gehrlein, William V.
Geller, Dennis P.
Gentleman, Jane F.
George, E. Olusegun
Geramita, Anthony V.
Geramita, Joan M.
Gerard, Harold B.
Gerardin, Paul
Gereb-Graus, Mihaly
Gergely, Ervin
Gerlits, Janos
Gersho, Allen
Gerson, Martin
Gerst, Irving
Gerstel, Ornan
Gerth, Frank, III
Gervacio, Severino V.
Gervais, Robert
Gessel, Ira M.
Gewirtz, Allan
Gharbi, Mohamed
Ghermanescu, Mihail
Ghinelli-Smit, Dina
Ghosh, Malay
Ghosh, Subir
Ghoshal, J.
Giannini, L. M.
Gibbons, Luana
Gibbons, Peter B.
Gibbs, Norman E.
Gibbs, Richard A.
Gibson, J. K.
Giese, John H.
Gilbert, Edgar N.
Gilbert, John R.
Gilchrist, M.
Gilewski, J.
Gilmore, Paul Carl
Gilmore, Robert
Gingold, H.
Ginn, Mark
Ginsberg, Jonathan I.
Ginsburg, John
Gioia, Anthony A.
Gionfriddo, Mario
Giordano, Frank R.
Giorgetta, Donato
Giraudet, Michele
Girela, Daniel
Girgensohn, Roland
Giroux, Andre
Gitik, Moti
Givant, Steven R.
Giveon, Y.
Glaister, Ian
Glashow, Sheldon Lee
Glass, A. M. W.
Glass, Jon P.
Glasser, M. Lawrence
Glazek, Kazimierz
Glebov, N. I.
Glicksberg, Irving
Glover, Fred
Glover, Joseph
Gluck, Lawrence
Gobel, Rudiger
Godbole, Anant P.
Godfrey, Jean
Godwin, H. J.
Goecke, Oskar
Goemans, Michel X.
Goethals, Jean-Marie
Goetz, A.
Goffin, Jean-Louis
Goffman, Casper
Goh, William M. Y.
Gohl, Gunnar
Golab, Stanislaw
Golan, Jonathan S.
Gold, Yaron I.
Goldbach, R. W.
Goldberg, Charles H.
Goldberg, Karl
Goldberg, Moshe
Goldberg, Myron
Goldberg, Seymour
Golden, Bruce L.
Goldfarb, Warren D.
Goldfeld, Dorian M.
Goldner, Anita M.
Goldreich, Oded
Goldschmidt, Elisheva
Goldsmith, Donald L.
Goldsmith, Judy
Goldstein, A. J.
Goldstein, Myron
Goldstern, Martin
Goldstine, Herman H.
Goldwasser, John L.
Goldwasser, Shafi
Goles Chacc, Eric
Golomb, Solomon W.
Golub, Gene Howard
Golubitsky, Martin
Golumbic, Martin Charles
Gomory, Ralph E.
Gonchar, Andrei A.
Gonzalez-Fernandez, J. M.
Goodman, Albert J.
Goodman, Arthur
Goodman, Gary
Goodman, Jacob Eli
Goodman, Richard
Goodman, Rodney M.
Goodman, Ruth E.
Goodman, Seymour E.
Goodman, Timothy N. T.
Gopalakrishnan, K.
Gopinath, B.
Goralcik, Pavel
Goralcikova, Alla
Gorden, Dan
Gordon, Cameron McA.
Gordon, Daniel M.
Gordon, Manfred
Gorlow, Waleri Wassiljewitsch
Goswami, Jaideva C.
Gotsman, Craig
Gottschalk, Manfred
Gould, Henry W.
Gould, Matthew
Goutier, Cluade
Gouvea, Fernando Q.
Govindarajulu, Zakkula
Grable, David A.
Grabner, Peter J.
Graczynska, Ewa
Graf, Siegfried
Grah, Jacques
Graham, Nancy Young
Graham, Niall
Grammatikakis, Miltos D.
Grandjot, K.
Granski, M.
Grant, Douglas D.
Grassl, Richard
Gratzer, George
Gray, James N.
Greaves, George
Green, David, Jr.
Green, Robert E.
Greenberg, Albert G.
Greenberg, Peter
Greene, Curtis
Greene, Daniel H.
Greene, Euline
Greene, Robert E.
Greene, Theodore Michael
Greenwell, Donald L.
Greetor, Ronald K.
Gregory, David A.
Grekos, Georges
Grenander, Ulf
Greville, Thomas N. E.
Griffin, J. S., Jr.
Griggs, Jerrold R.
Griggs, Terry S.
Grigoriev, Dima Yurevitz
Grigoryan, Alexander A.
Grillio Berta Mauri, Anna
Grimmett, Geoffrey R.
Grimson, W. Eric L.
Grinstead, Charles M.
Grishukhin, Viatcheslav P.
Groetsch, Charles W.
Groflin, Heinz
Gronau, Detlef
Gronau, Hans-Dietrich O. F.
Grosof, Miriam Schapiro
Gross, Fred
Gross, Jonathan L.
Gross, Kenneth B.
Gross, Robert
Grossberg, Rami
Grossman, Jerrold Wayne
Grossman, Tal
Grosswald, Emil
Grothmann, Rene
Grotschel, Martin
Gruberger, Nira
Grubl, Gebhard
Grunbaum, Zdenka
Gruszka, Jacek
Gruzewski, Aleksander
Guan, Lu Tai
Gudder, Stanley P.
Guibas, Leonidas J.
Guler, Osman
Gupta, Ajay K.
Gupta, Arjun K.
Gupta, Om Parkash
Gupta, Rajiv
Gupta, S. K.
Guralnick, Robert M.
Guregova, Maria
Gurevich, Yuri
Gustafson, Karl
Gut, Allan
Gutkin, Eugene
Gutman, Ivan M.
Guttmann, Anthony J.
Guy, A. G.
Guy, Andrew W. P.
Gvozdjak, Pavol
Gyapjas, F.
Haber, Seymour
Habsieger, Laurent
Haddad, Lucien
Hadwiger, Hugo
Haemers, Wilhelmus Hubertus
Haeusler, Erich
Hafner, James Lee
Hafner, Paul
Hage, Per
Hager, Anthony W.
Hager, Richard
Haggard, Gary
Haggkvist, Roland
Hagwood, Robert Charles
Hahn, Gena
Haigh, Claude W.
Hajek, Jaroslav
Hajela, Dan J.
Hajian, Arshag B.
Hajnal, Peter
Hajos, Georg
Hakimi, Seifollah Louis
Halasz, Sylvia
Halbeisen, Lorenz
Halberg, Charles J. A., Jr.
Halberstam, Fay Y.
Halberstam, Heini
Hale, Mark P., Jr.
Hales, Alfred W.
Hall, Charles A.
Hall, Jonathan I.
Hall, Marshall, Jr.
Hall, R. S.
Halldorsson, Magnus M.
Hallenbeck, David J.
Hallum, Kathleen C.
Hallyburton, John C., Jr.
Halmos, Paul R.
Halperin, J., Jr.
Halpern, Herbert
Halpin, Patrick
Halton, John Henry
Hamada, Noborv
Hamaker, William
Hambrusch, Susanne E.
Hamel, Angele Marie
Hamm, Rose C.
Hammer, Peter L.
Hancl, Jaroslav
Handelman, David
Hanen, A.
Hanisch, Herman
Hanlon, Phil
Hannak, Laszlo
Hansell, Roger W.
Hansen, Jennie C.
Hansen, Lowell J.
Hansen, Pierre
Hanson, J.
Hansoul, Georges E.
Harari, Yuval
Haraux, Alain
Harborth, Heiko
Hardin, Ronald Hunter
Hardy, Godfrey Harold
Hare, David R.
Hare, Donovan R.
Hare, Eleanor O.
Harman, Glyn
Harms, Daryl D.
Harms, Janelle J.
Harnchoowong, Ajchara
Harnik, Victor
Harper, Lawrence H.
Harrington, Leo A.
Harris, Andrew J.
Harris, Frederick C., Jr.
Harris, John M.
Harris, T. E.
Harris, V. C.
Harrop, Ronald
Hart, Bradd
Hart, Joan
Hart, Sergiu
Hartfiel, Darald J.
Hartig, Klaus
Hartman, Alan
Hartman, Irith Ben-Arroyo
Hartman, Philip
Hartmann, Mark
Hartnell, Bert L.
Hartung, Paul
Haruki, Hiroshi
Haruki, Shigeru
Hashim, Ashwaq
Hashmi, Jahangir A.
Hassan, Al-Zaid
Hasse, Helmut
Hasson, Maurice
Hastad, Johan T.
Hasumi, Morisuke
Hatvani, Laszlo
Hausman, Miriam
Haussler, David
Havas, George
Havas, I.
Havelock, R.
Haviland, E. K.
Hawkins, D.
Haxell, P. E.
Hay, Barbara
Haydon, Richard G.
Hayes, Allan
Hayes, John P.
Hayes, Stanley E.
Hayman, Walter Kurt
Haynes, Teresa W.
Haynsworth, Emilie
He, Qing
He, Tian Xiao
Hedenmalm, Hakan
Hedetniemi, Sandra Mitchell
Heilmann, Ole J.
Heinrich, Katherine
Hejduk, Jacek
Held, Michael
Helfand, Eugene
Helland, Pat
Heller, Isidor
Hellerstein, Simon
Helson, Henry
Hemaspaandra, Lane A.
Hemmer, Per Chr.
Henderson, Peter B.
Hendy, Michael D.
Henkin, Leon
Henle, James M.
Hennemuth, Richard C.
Henry, Myron S.
Hensel, A. D.
Hensley, Douglas
Henson, C. Ward
Henson, Teresa D.
Hentzel, Irvin Roy
Heppes, Aladar
Heppner, Ernst
Herda, Hans
Herman, Joan E.
Hermann, Peter Z.
Hermann, Thomas
Herndon, William C.
Hershberger, John
Hershkowitz, Daniel
Herstein, Israel N.
Herzog, Joachim
Hesse, G.
Hetyei, Gabor L.
Hevia, Hector
Hewitt, Edwin
Hexel, Erhard
Heydemann, Marie-Claude
Hiester, N. K.
Higgins, F. E.
Higman, Graham
Hill, Anthony P.
Hill, J. D.
Hille, Einar
Hiller, Howard Lyn
Hilliker, David Lee
Hillman, Abraham P.
Hilton, Anthony J. W.
Hind, Hugh R. F.
Hinkkanen, Aimo
Hinkley, David V.
Hinrichs, Lowell A.
Hirsch, Warren M.
Hirschfeld, James William Peter
Hirschhorn, Michael D.
Hirst, Jeffry L.
Hlawka, Edmund
Ho, Chat Y.
Ho, Ching-Tien
Hoang, Chinh T.
Hobart, Sylvia A.
Hobinger, Johannes
Hochbaum, Dorit S.
Hochberg, Robert
Hochberg, Yosef
Hochstattler, Winfried
Hodes, Louis
Hodges, Kenneth
Hodges, Wilfred
Hodkinson, Ian
Hoede, Cornelis
Hoehn, Larry
Hoffman, Dean G.
Hoffman, Frederick
Hoffman, Ilya
Hoffman, Michael J.
Hoffmann, Frank
Hoffmann, G.
Hoffmann-Joergensen, Jorgen
Hofmeister, Gred
Hofmeister, Michael
Hofmeister, Thomas
Holbert, Karen S.
Holland, Anthony Stanley Bassett
Holland, W. Charles
Holley, Lisa
Hollmann, Henk D. L.
Holmes, Susan
Holroyd, Fred C.
Holst, Lars
Holsztynski, Wlodzimierz
Holt, Jeffrey J.
Holt, Linda M.
Holzmann, Carlos A.
Hominal, Pierre
Honargohar, Zorabi
Hong, Dong
Hong, Jia-Wei
Hoory, Shlomo
Hoover, H. James
Hoover, Mark
Hopkins, Glenn W.
Hopkins, Laurie B.
Horn, Alfred
Horn, Roger A.
Hornik, Kurt
Horowitz, Joseph
Horton, Joseph D.
Horvath, Jean
Horvath, Lajos
Horwitz, Alan L.
Hosoya, Haruo
Hossain, Moazzem
Hosszu, Miklos
Houle, Michael E.
Housworth, Elizabeth Ann
Houten, Lorne
Howard, Paul E.
Howe, Roger E.
Howell, Gary W.
Howes, Leonard
Howie, John M.
Hronec, Jur
Hrushovski, Ehud
Hsia, John S.
Hsiao, David
Hsieh, W. N.
Hsu, Li Hsing
Hsu, Lietz C.
Hsu, N. C.
Hsu, Pei
Hsu, Tim
Hu, Hongde
Hu, Hui
Hu, Joanne
Hu, Jun
Hu, Te Chiang
Hu, Xiao Dong
Hu, Xiao Yu
Hu, Ying Sheng
Huang, Charlotte
Huang, Jing
Huang, Ta Yuan
Huang, Xiaojun
Huber, Martin
Huck, Andreas
Hughes, Charles E.
Hughes, Daniel R.
Hughes, Ian G.
Hughes, John F.
Hughes, Kimball Newton
Hui, Roger
Hui, Stefen Y.
Huisman, Leendert M.
Hujter, Mihaly
Hulanicki, A.
Humke, Paul D.
Hummel, James A.
Hunsucker, John L.
Hunt, David C.
Huotari, Robert
Hurlbert, Glenn H.
Hurst, Fair Barbour
Hurwitz, Alexander
Hurwitz, Henry, Jr.
Husek, Miroslav
Hutchinson, Joan P.
Huxley, Martin N.
Hwang, Frank Kwangming
Hyers, Donald H.
Hyttinen, Tapani
Ibarra, Oscar H.
Ihrig, Ed
Ihringer, Thomas
Il'in, Vladimir Aleksandrovich
Imai, Hiroshi
Immerman, Neil
Imoru, Christopher Olutunde
Impagliazzo, Russell
Imrich, Wilfried
Ingarden, Roman S.
Ingleton, Aubrey William
Iosifescu, Marius
Iqbalunnisa, T.
Iri, Masao
Irwin, John M.
Isaak, Garth T.
Isaev, A. V.
Isbell, John R.
Iscoe, Ian
Iskra, Jeseph A.
Ismail, Mourad E. H.
Ismatullaev, Sh. A.
Israeli, Amos
Itai, Alon
Ito, Noboru
Ito, Yuji
Ivanov, A. V.
Ivanov, Kamen G.
Ivanov, Sergei A.
Ivanyi, Antal
Ivanyos, Gabor
Iwaniec, Henryk
Iyengar, Sitharama S.
Izumi, Shin-ichi
Jackson, Bill
Jackson, Bradley W.
Jackson, David M.
Jackson, Douglas E.
Jackson, Howard L.
Jackson, Terrence H.
Jacobs, David Pokrass
Jacobs, Walter
Jacobson, Theodore
Jaeger, Francois
Jaffray, Alan
Jaglom, Isaac M.
Jagy, William C.
Jain, Naresh C.
Jain, Pawan Kumar
Jajcay, Robert
Jajodia, Sushil
Jakimovski, Amnon
Jakob, Matthias
Jakubowicz, Oleg
James, Brent
James, R. D.
Jameson, Graham J. O.
Jamil, Basharat A.
Jamison, James E.
Jamison, Robert E.
Jammalamadaka, Sreenivasa Rao
Janakiraman, T. N.
Janic, Radovan R.
Janossy, Lajos
Jansen, Klaus
Janssen, A. J. E. M.
Janwa, Heeralal
Jarai, Antal
Jarden, Moshe
Jarrett, Elzbieta B.
Jarvis, John J.
Jaworski, Jerzy
Jayaram, S. R.
Jayne, John E.
Jech, Thomas J.
Jedwab, Jonathan
Jendrol, Stanislav
Jenkyns, Tom A.
Jennings, George
Jerison, David S.
Jerison, Meyer
Jerome, Joseph
Jerrard, Richard P.
Jerrum, Mark
Jessen, Borge
Jessop, Nicholas
Jetter, Kurt
Jevtic, Dusan B.
Jewell, Nicholas P.
Jezek, Jaroslav
Jha, Shing-Whu
Jha, Vikram
Jhunjhunwala, N.
Jia, Rong Qing
Jia, Xing De
Jian, Chen
Jiang, Zhike
Jin, Renling
Jipsen, Peter
Jockusch, Carl G., Jr.
Joffe, Anatole
Joffe, Peter
John, Peter Eugen
John, Peter W. M.
Johns, Garry L.
Johnson, Barry Edward
Johnson, Charles Royal
Johnson, Christopher W.
Johnson, David Stifler
Johnson, Donald G.
Johnson, Ellis L.
Johnson, Eugene W.
Johnson, G. D.
Johnson, Joseph Lemmel, Jr.
Johnson, Karen Anne
Johnson, Kathryn E.
Johnson, Kenneth Walter
Johnson, Mark A.
Johnson, Norman Lloyd-2
Johnson, Norman W.
Johnson, O.
