Stal Aanderaa
Bill Maxwell
Alan Siegal
Alex Siegel
Howard Siegel
Georgy Fedoseevich Voronoi
Ron Sigal
Elaine Weyuker
Vishal Sikka
Michael Genesereth
Hans-Ulrich Simon
?
Istvan Simon
Barbara Simons
Shai Simonson
Alistair Sinclair
Seppo Sippu
Eljas Soisalon-Soininen
A.P. Sistla
Peter Sj&ouml;din
Kostas Skandalis
Steven Skiena
Axel Thue
Yaroslav Tagamlitzki
Dale Skrien
Robert Sloan
Raoul Bott
M. Smid
Sean Smith
Steven Smoliar
Raymond Smullyan
? Snepscheut
Marc Snir
Larry Snyder
Timothy Law Snyder
J. Michael Steele
Soeren Soe
M. Soittola
Marv Solomon
Jon Sorenson
Ivan Soskov
Vladimir Sotirov
Edith Spaan
Johan F.A.K. van_Benthem
Joel Spencer
Paul Erdos?
T.H. Spencer
Daniel A. Spielman
Jerry Spinrad
Jacobo Valdes
Paul Spirakis
Fred Springsteel
M.A. Sridhar
Mandayam Srinivas
Aravind Srinivasan
Matt Stallmann
Tom Standish
John Staples
Eugene Stark
Richard Statman
Paul Steckler
Edward Stedman
S.S.L. Chang
Clifford Stein
M. Steinby
Volker Stemann
Michael Stob
Larry Stockmeyer
Paul Stockmeyer
Alexei P. Stolboushkin
Jorge Stolfi
Jim Storer
Tom Szymanski
Carl Gottfried Neumann?
Martin Strauss
Bob Streett
Juris Strods
Ray Strong
Gordon Stuart
Carl Sturtivant
Peter Su
Ashok Subramanian
Sairam Subramanian
Madhu Sudan
Torsten Suel
Ken Supowit
Subhash Suri
Ivan Sutherland
Hendra Suwanda
Sowmitri Swamy
Mario Szegedy
A. Szilard
Wieslaw Szwast
Kuo-chung Tai
Anatoly Maltsev
Paul J. Tanenbaum
Senhua Tao
Eva Tardos
Stanislaw Lefniewski
Jun Tarui
Steve Tate
Paul Taylor
Peter Johnstone
? Teer
Monique Teillaud
J-D Boissonnat
Gerard Tel
Ewan Tempero
Shang-Hua Teng
Richard Tenney
H.J.J. te_Riele
James Thatcher
Stan Thomas
Hans Hermes
Hans-Dieter Ebbinghaus
David Blackwell
Ben Thompson
Clark Thompson
Ken Thompson
Prasoon Tiwari
Seinosuke Toda
See P. Toh
Ioannis Tollis
Kelly Gottlieb
Jacobo Toran
Eric Torng
Alberto Torres
Jerry Trahan
Nicholas Tran
Henry Foley
Mart Trautwein
Howard Trickey
John Tromp
P.M.B. Vitanyi
George Nemhauser
Athanasios Tsakalidis
Manolis Tsangaris
Thanasis Tsantilas
E.J. McCluskey
Philippas Tsigas
D.-M. Tsou
Shalom Tsur
John Tukey
P. Turakainen
Jon Turner
Mark Tuttle
Akhilesh Tyagi
Jerzy Tyszkiewicz
Wen-Guey Tzeng
? Udding
David Udin
R.T. Udink
S.D.S. Swierstra
Arch McKellar
Yoon-Sup Um
David Huffman
Eli Upfal
T. Urponen
Pawel Urzyczyn
Pravin Vaidya
Dimiter Vakarelov
Thomas Valente
Gabriel Valiente
Francesc Rossello
Mars Valiev
S. van_Denneheuvel
M.P. van_der_Hulst
M.H. van_Emden
R.J. van_Glabbeek
Dirk Van_Gucht
? van_Katwijk
Marc van_Kreveld
V. van_Oostrom
Frances Van_Scoy
? van_Vliet
Chris van_Wyk
Lotfi Zadeh
Moshe Vardi
George Varghese
? Veen
Mahandren Velauthapillai
Marinus Veldhorst
K.M. Venkataraman
Ann Yasuhara
H. Venkateswaran
? Verhoef
Rakesh M. Verma
Victor Vianu
G. Vijayan
Alfredo Viola
Ramesh Viswanathan
Emil Volcheck
David Cantor
Heribert Vollmer
Klaus W. Wagner
Orli Waarts
Alf Wachsmann
Bob Wagner
David Wall
Emmanuel Waller
H. Walter
Igor Walukiewicz
Alex Wang
Hui Wang
Jie Wang
Rolf Wanka
Manfred Warmuth
Tandy Warnow
Osamu Watanabe
Takuya Katayama
Ben Wegbreit
Mark Wegman
Trudy Weibel
Bruce Weide
William E. Weihl
W.P. Weijland
Peter Weinberger
Mark Allen Weiss
Richard Hammersley
Emo Welzl
Ralph Werchner
Arthur Werschulz
Charles Wetherell
Peter D. White
William White
Hassler Whitney
Rolf Wiehagen
Helmut Thiele
Bob Wilber
Herb Robbins
Gordon Wilfong
Thomas Wilke
Dan Willard
Ugo Gagliardi
Christopher Wilson
Thomas Wimer
Peter Winkler
Karl Winklmann
Vincent Wino
Terry Winograd
C. Witteveen
Markus Wloka
Gerhard Woeginger
Franz Rendl
Marty Wolf
Karl Schr&ouml;ter
Ouri Wolfson
Heather Woll
Pierre Wolper
Limsoon Wong
Patrick Wong
Derrick Wood
Mike Wells
Mark Wood
Don Woods
Hans Wossner
Detlef Wotschke
Celia Wrathall
David A. Wright
C. Baker-Finch
P. Collier
Rebecca N. Wright
Michael Wu
Peter Yick Fai Wu
James Wyllie
Harry Wyshoff
Yacov Yacobi
Ali Yaghi
Bob McNaughton
Pei-Yuan Yan
Mihalis Yannakakis
S. Glashow
Frances Yao
Chee Yap
Bennet Yee
Raymond Yeh
R. Bar Yehuda
Amiram Yehudai
Hsu-Chun Yen
Yaacov Yesha
Akitoshi Yoshida
Neal E. Young
David Yun
Moti Yung
Sami Zaiddan
Shmuel Zaks
Christos D. Zaroliagis
Jordan Zashev
Bernhard Zeigler
Suzanne Zeitman
Thomas Zeugmann
Louxin Zhang
Yanjun Zhang
Qi Zheng
Huang Zhisheng
P. Zhou
Marius Zimand
Rich Zippel
? Zonneveld
Lenore Zuck
Jeff Zucker
S. Feferman
David Zuckerman
Uri Zwick
J. Zwiers
---
---
---
---
---
---
---
---
---
---
---
---
